Incident Number,County,Fire Name,Date Start,Date Contained,Origin DPA,DPA Type,Acres Burned,Vegetation Type,Cause,Structures Destroyed,Structures Damaged,Fatalities Fire,Fatalities Civil
RRU-99747,RIVERSIDE,BLAINE,8/13/17,8/16/17,CAL FIRE,State and Contract Counties ,1500,BG,UNDETERMINED,,46,,
RRU-100591,RIVERSIDE,MIAS,8/14/17,8/18/17,CAL FIRE,State and Contract Counties ,600,BG,ELECTRICAL POWER,,,,
BTU-13737,BUTTE,PONDEROSA,8/29/17,10/28/17,CAL FIRE,State and Contract Counties ,4016,BT,CAMPFIRE,55,,,
NEU-22877,NEVADA,PLEASANT,8/30/17,9/6/17,CAL FIRE,State and Contract Counties ,392,BT,UNDETERMINED,1,1,,
RRU-108660,RIVERSIDE,PALMER,9/2/17,9/9/17,CAL FIRE,State and Contract Counties ,3800,BG,PLAYING WITH FIRE,,1,,
MMU-18115,MADERA,MISSION,9/3/17,9/13/17,CAL FIRE,State and Contract Counties ,1037,BT,ELECTRICAL POWER,7,4,,
MMU-18116,MADERA,PEAK,9/3/17,9/9/17,CAL FIRE,State and Contract Counties ,680,BT,VEHICLE,4,,,
SHU-9460,SHASTA,BERRY,9/12/17,10/4/17,CAL FIRE,State and Contract Counties ,900,B,LIGHTNING,,,,
MMU-19222,MADERA,EASTMAN,9/18/17,9/19/17,CAL FIRE,State and Contract Counties ,483,G,ELECTRICAL POWER,,,,
SBC-12621,SANTA BARBARA,RUCKER,9/29/17,10/4/17,CC,State and Contract Counties ,444,BG,MISCELLANEOUS,,,,
ORC-1478,ORANGE,CANYON,9/25/17,10/3/17,CC,State and Contract Counties ,2662,BG,MISCELLANEOUS,,7,,
BTU-15933,BUTTE,CHEROKEE,10/8/17,11/5/17,CAL FIRE,State and Contract Counties ,8500,BG,ELECTRICAL POWER,6,1,,
NEU-26269,YUBA,CASCADE (NEU WIND COMPLEX)*,10/8/17,10/19/17,CAL FIRE,State and Contract Counties ,9989,BT,ELECTRICAL POWER,264,10,,4
NEU-26279,NEVADA,MCCOURTNEY (NEU WIND COMPLEX),10/8/17,10/21/17,CAL FIRE,State and Contract Counties ,76,BT,ELECTRICAL POWER,13,2,,
NEU-26275,NEVADA,LOBO (NEU WIND COMPLEX),10/8/17,10/22/17,CAL FIRE,State and Contract Counties ,821,BT,ELECTRICAL POWER,47,2,,
LNU-10045,NAPA,TUBBS (CENTRAL LNU COMPLEX),10/8/17,10/31/17,CAL FIRE,State and Contract Counties ,36807,BGT,ELECTRICAL POWER,"5,636",317,1,21
LNU-10049,SONOMA,NUNS (CENTRAL LNU COMPLEX),10/9/17,10/31/17,CAL FIRE,State and Contract Counties ,44573,BGT,ELECTRICAL POWER,"1,355",172,,3
LNU-10050,SONOMA,ADOBE (CENTRAL LNU COMPLEX - NUNS),10/8/17,10/31/17,CAL FIRE,State and Contract Counties ,3700,BGT,ELECTRICAL POWER,,,,
LNU-10051,NAPA,PARTRICK (CENTRAL LNU COMPLEX - NUNS),10/8/17,10/31/17,CAL FIRE,State and Contract Counties ,8283,BGT,ELECTRICAL POWER,,,,
MEU-12169,MENDOCINO,"REDWOOD VALLEY(MENDOCINO LAKE COMPLEX)",10/8/17,10/26/17,CAL FIRE,State and Contract Counties ,36523,GT,ELECTRICAL POWER,543,41,,9
MRN-2957,MARIN,THIRTY SEVEN,10/9/17,10/12/17,CC,State and Contract Counties ,1660,BG,ELECTRICAL POWER,3,1,,
BTU-15954,BUTTE,LA PORTE (NEU WIND COMPLEX),10/9/17,10/20/17,CAL FIRE,State and Contract Counties ,6151,BT,ELECTRICAL POWER,74,2,,
ORC-110494,ORANGE,CANYON 2,10/9/17,10/17/17,CC,State and Contract Counties ,9217,BG,MISCELLANEOUS,25,55,,
LNU-10046,NAPA,ATLAS (SOUTHERN LNU COMPLEX),10/9/17,10/28/17,CAL FIRE,State and Contract Counties ,51624,BGT,ELECTRICAL POWER,783,120,,6
LNU-10055,LAKE,"SULPHUR(MENDOCINO LAKE COMPLEX)",10/9/17,10/26/17,CAL FIRE,State and Contract Counties ,2207,GT,ELECTRICAL POWER,162,8,,
LNU-10057,SONOMA,POCKET 2 (CENTRAL LNU COMPLEX),10/9/17,10/31/17,CAL FIRE,State and Contract Counties ,17357,BGT,ELECTRICAL POWER,6,2,,
CZU-7822,SANTA CRUZ,BEAR,10/16/17,10/29/17,CAL FIRE,State and Contract Counties ,391,T,ARSON,6,,,
VNC-43244,"VENTURA/SANTABARBARA",THOMAS,12/4/17,1/12/18,CC,State and Contract Counties ,281893,BG,UNDETERMINED,"1,060",274,1,1
LAC-362189,LOS ANGELES,CREEK,12/5/17,12/29/17,CC,State and Contract Counties ,15619,B,UNDETERMINED,123,81,,
LAC-362441,LOS ANGELES,RYE,12/5/17,12/15/17,CC,State and Contract Counties ,6049,BG,UNDETERMINED,6,3,,
MVU-24612,SAN DIEGO,LILAC 5,12/7/17,12/16/17,CAL FIRE,State and Contract Counties ,4088,BG,UNDETERMINED,157,64,,
NOD-1810,MODOC,WEST,4/1/17,4/1/17,BLM,Other Agencies,401,BG,MISCELLANEOUS,,,,
MCP-1494,SAN DIEGO,DELUZ,5/19/17,5/22/17,DOD,Other Agencies,486,BG,MISCELLANEOUS,,,,
FHL-1267,MONTEREY,RANGE,6/4/17,6/11/17,DOD,Other Agencies,1972,G,MISCELLANEOUS,,,,
SQF-1223,KERN,HIGHWAY,6/21/17,6/25/17,USFS,Other Agencies,1522,G,UNDETERMINED,,,,
